Resumen de canciones
==================================================================================================================================
Tema                                    Autor                         Duracion            Danceability        Generos             
Sick_and_Tired                          Anastacia                     3.54                59.80               pop                 
What_You_Waiting_For?                   Gwen_Stefani                  3.69                67.60               pop-R&B             
Only_U                                  Ashanti                       3.11                60.10               hiphop-pop-R&B      
In_the_Shadows                          The_Rasmus                    4.30                60.00               metal               
I_Like_That                             Houston                       3.94                79.70               hiphop-pop          
Naughty_Girl                            Beyonce                       3.48                73.50               pop-R&B             
Numb                                    Linkin_Park                   3.09                49.60               rock-metal          
On_Fire                                 Lloyd_Banks                   3.12                75.90               hiphop-pop          
Locked_Up                               Akon                          3.92                81.80               pop                 
My_Band                                 D12                           4.98                85.10               hiphop-pop-rock     
Eyes_On_You                             Jay_Sean                      3.17                80.20               hiphop-pop-R&B      
I_Don't_Wanna_Know                      Mario_Winans                  4.29                83.30               pop                 
Lose_My_Breath                          Destiny's_Child               4.03                81.40               pop-R&B             
Call_on_Me                              Eric_Prydz                    2.86                59.70               pop-Dance/Electronic
Goodies                                 Ciara                         3.72                82.60               pop-R&B             
Trick_Me                                Kelis                         3.44                97.00               pop-R&B-Dance/Electronic
Headsprung                              LL_Cool_J                     4.46                71.80               hiphop-pop-R&B      
Black_Betty                             Spiderbait                    3.43                56.20               rock                
Amazing                                 George_Michael                4.43                80.50               pop                 
My_Prerogative                          Britney_Spears                3.56                74.90               pop                 
Move_Ya_Body                            Nina_Sky                      3.87                87.00               pop-R&B             
Suga_Suga                               Baby_Bash                     3.98                66.20               hiphop-pop-R&B-latin
Freek                                   Petey_Pablo                   3.92                73.70               hiphop-pop          
Dirt_Off_Your_Shoulder                  JAY                           4.09                77.90               hiphop              
La_Camisa_Negra                         Juanes                        3.61                75.10               pop-latin           
Nobody's_Home                           Avril_Lavigne                 3.54                34.80               pop                 
Radio                                   Robbie_Williams               3.89                60.70               pop-rock            
Hey_Mama                                Black_Eyed_Peas               3.58                86.00               hiphop-pop          
Salt_Shaker                             Ying_Yang_Twins               4.21                88.40               hiphop-pop          
Not_In_Love                             Enrique_Iglesias              3.72                76.20               pop-latin           
Milkshake                               Kelis                         3.04                88.10               pop-R&B-Dance/Electronic
Breaking_the_Habit                      Linkin_Park                   3.28                57.90               rock-metal          
Leave                                   JoJo                          4.05                65.60               hiphop-pop-R&B      
Dip_It_Low                              Christina_Milian              3.29                75.20               hiphop-pop-R&B      
Read_Your_Mind                          Avant                         4.39                75.50               pop-R&B             
Just_Lose_It                            Eminem                        4.14                94.00               hiphop              
Too_Lost_In_You                         Sugababes                     3.96                58.60               pop-R&B             
Drop_It_Like_It's_Hot                   Snoop_Dogg                    4.43                89.20               hiphop-pop          
I'm_Still_in_Love_with_You              Sean_Paul                     4.56                76.50               hiphop-pop          
Lola's_Theme                            The_Shapeshifters             3.45                74.80               Dance/Electronic    
How_Come                                D12                           4.16                74.50               hiphop-pop-rock     
Good_Luck                               Basement_Jaxx                 4.71                57.10               pop-Dance/Electronic
Turn_Me_On                              Kevin_Lyttle                  3.20                67.70               hiphop              
One_Call_Away                           Chingy                        4.61                76.50               hiphop-pop-R&B      
Bring_Em_Out                            T.I.                          3.61                75.90               hiphop-pop          
Cha_Cha_Slide                           DJ_Casper                     3.70                85.30               pop                 
I_Believe_in_You                        Kylie_Minogue                 3.35                54.80               pop-Dance/Electronic
Overnight_Celebrity                     Twista                        3.89                82.80               hiphop-pop-R&B      
She_Wants_To_Move                       N.E.R.D                       3.56                76.60               hiphop              
Everytime                               Britney_Spears                3.84                39.80               pop                 
Vertigo                                 U2                            3.23                41.60               World/Traditional-rock
Take_Me_Out                             Franz_Ferdinand               3.95                27.70               rock                
Tipsy                                   J                             4.12                92.50               hiphop-pop          
Wanna_Get_To_Know_You                   G                             4.42                51.30               hiphop-pop          
Sunshine                                Lil'_Flip                     3.75                81.40               hiphop-pop          
Jesus_Walks                             Kanye_West                    3.23                63.70               hiphop              
My_Immortal                             Evanescence                   4.38                19.00               metal               
My_Place                                Nelly                         5.61                60.00               hiphop-pop-R&B      
If_There's_Any_Justice                  Lemar                         3.82                70.60               R&B                 
It's_My_Life                            No_Doubt                      3.77                61.20               rock-pop            
Don't_Tell_Me                           Avril_Lavigne                 3.37                52.30               pop                 
Slow_Jamz                               Twista                        5.27                55.90               hiphop-pop-R&B      
American_Idiot                          Green_Day                     2.94                38.00               rock                
Millionaire                             Kelis                         3.75                68.00               pop-R&B-Dance/Electronic
Comfortably_Numb                        Scissor_Sisters               4.43                80.30               pop-rock-Dance/Electronic
Diary                                   Alicia_Keys                   4.74                66.30               pop-R&B             
Through_The_Wire                        Kanye_West                    3.69                57.10               hiphop              
Come_With_Me                            Special_D.                    3.09                73.90               pop                 
Splash_Waterfalls                       Ludacris                      4.85                73.40               hiphop-pop          
My_Happy_Ending                         Avril_Lavigne                 4.04                41.40               pop                 
White_Flag                              Dido                          4.00                51.20               pop                 
Fuck_It                                 Eamon                         3.75                82.80               pop                 
Me_Myself_and_I                         Beyonce                       5.02                75.00               pop-R&B             
Here_Without_You                        3_Doors_Down                  3.98                55.70               pop-rock-metal      
All_Falls_Down                          Kanye_West                    3.73                65.70               hiphop              
Sunshine                                Twista                        3.77                92.60               hiphop-pop-R&B      
The_Closest_Thing_to_Crazy              Katie_Melua                   4.21                56.20               pop-easy_listening-jazz
My_Boo                                  Usher                         3.72                66.20               hiphop-pop-R&B      
Southside                               Lloyd                         4.63                68.80               hiphop-pop-R&B      
Take_Me_To_The_Clouds_Above             LMC                           2.86                66.80               Dance/Electronic    
Fit_but_You_Know_It                     The_Streets                   4.24                68.00               hiphop-Dance/Electronic
Slow_Motion                             JUVENILE                      4.14                71.30               hiphop-pop          
The_Way_You_Move                        Outkast                       3.90                87.10               hiphop-pop          
Love_Machine                            Girls_Aloud                   3.42                66.30               pop-Dance/Electronic
With_You                                Jessica_Simpson               3.20                55.30               pop-R&B             
Like_Toy_Soldiers                       Eminem                        4.95                52.00               hiphop              
Mad_World                               Gary_Jules                    3.16                34.50               pop                 
Pieces_Of_Me                            Ashlee_Simpson                3.62                50.50               pop                 
Leave_Right_Now                         Will_Young                    3.58                64.10               pop                 
You_Don't_Know_My_Name                  Alicia_Keys                   6.11                26.40               pop-R&B             
We_Belong_Together                      Mariah_Carey                  3.36                84.00               pop-R&B             
Let_Me_Love_You                         Mario                         4.28                65.60               pop-R&B             
Gold_Digger                             Kanye_West                    3.46                62.90               hiphop              
Pon_de_Replay                           Rihanna                       4.12                77.90               hiphop-pop-R&B      
Candy_Shop                              50_Cent                       3.49                61.40               hiphop-pop          
You're_Beautiful                        James_Blunt                   3.49                67.50               pop                 
Boulevard_of_Broken_Dreams              Green_Day                     4.35                49.00               rock                
Don't_Cha                               The_Pussycat_Dolls            4.53                87.50               pop-R&B             
Bad_Day                                 Daniel_Powter                 3.89                59.90               pop                 
Bananza                                 Akon                          3.97                87.80               pop                 
Hung_Up                                 Madonna                       5.63                64.90               pop                 
Just_A_Lil_Bit                          50_Cent                       3.96                48.90               hiphop-pop          
Axel_F                                  Crazy_Frog                    2.81                86.00               pop                 
Ass_Like_That                           Eminem                        4.42                64.60               hiphop              
We_Be_Burnin'                           Sean_Paul                     3.55                95.00               hiphop-pop          
Rich_Girl                               Gwen_Stefani                  3.94                85.60               pop-R&B             
Galvanize                               The_Chemical_Brothers         6.56                74.50               Dance/Electronic    
Remember_the_Name                       Fort_Minor                    3.84                68.80               hiphop-pop-rock     
Disco_Inferno                           50_Cent                       3.57                92.50               hiphop-pop          
How_We_Do                               The_Game                      3.93                86.20               hiphop-pop          
Run_It!                                 Chris_Brown                   3.83                84.60               hiphop-pop-R&B      
It's_Like_That                          Mariah_Carey                  3.39                80.00               pop-R&B             
My_Humps                                Black_Eyed_Peas               5.45                80.20               hiphop-pop          
Oh                                      Ciara                         4.27                80.00               pop-R&B             
Outta_Control                           50_Cent                       4.13                77.20               hiphop-pop          
Baby_I'm_Back                           Baby_Bash                     3.67                89.90               hiphop-pop-R&B-latin
Get_Right                               Jennifer_Lopez                3.76                74.10               hiphop-pop-R&B      
Numb_/_Encore                           JAY                           3.43                68.70               hiphop              
Hate_It_Or_Love_It                      The_Game                      3.44                80.20               hiphop-pop          
Feel_Good_Inc.                          Gorillaz                      3.71                81.80               hiphop              
Don't_Phunk_With_My_Heart               Black_Eyed_Peas               4.00                69.00               hiphop-pop          
Lonely                                  Akon                          3.93                62.90               pop                 
I_Like_The_Way                          Bodyrockers                   3.33                64.20               rock-Dance/Electronic
Push_The_Button                         Sugababes                     3.63                96.20               pop-R&B             
Soul_Survivor                           Jeezy                         4.67                68.40               hiphop-pop          
Mockingbird                             Eminem                        4.18                63.70               hiphop              
La_Tortura                              Shakira                       3.55                74.00               pop-latin           
DARE                                    Gorillaz                      4.08                76.00               hiphop              
Signs                                   Snoop_Dogg                    3.95                94.00               hiphop-pop          
Tripping                                Robbie_Williams               4.61                66.60               pop-rock            
Play                                    David_Banner                  3.84                83.70               hiphop-pop          
Some_Cut                                Trillville                    4.72                90.00               hiphop-pop          
Laffy_Taffy                             D4L                           3.74                89.10               hiphop-pop          
Lose_Control                            Missy_Elliott                 3.78                90.40               hiphop-pop-R&B      
Lonely_No_More                          Rob_Thomas                    3.78                55.10               pop-Folk/Acoustic   
Almost_Here                             Brian_McFadden                3.83                56.10               pop                 
Slow_Down                               Bobby_V.                      4.31                56.80               hiphop-pop-R&B      
Incomplete                              Backstreet_Boys               3.99                43.70               pop                 
Grind_With_Me                           Pretty_Ricky                  3.96                70.00               hiphop-pop-R&B      
Diamonds_From_Sierra_Leone              Kanye_West                    3.89                67.20               hiphop              
Drop_It_Like_It's_Hot                   Snoop_Dogg                    4.43                89.20               hiphop-pop          
Get_It_Poppin'                          Fat_Joe                       3.52                90.50               hiphop-pop          
Soldier                                 Destiny's_Child               5.43                87.80               pop-R&B             
1_2_Step                                Ciara                         3.37                93.90               pop-R&B             
1_Thing                                 Amerie                        3.98                63.60               hiphop-pop-R&B      
Get_Back                                Ludacris                      4.51                55.50               hiphop-pop          
Do_You_Want_To                          Franz_Ferdinand               3.58                41.20               rock                
Shiver                                  Natalie_Imbruglia             3.71                48.90               pop-Folk/Acoustic   
Hollaback_Girl                          Gwen_Stefani                  3.33                92.60               pop-R&B             
Your_Body                               Pretty_Ricky                  4.00                83.80               hiphop-pop-R&B      
The_Kill                                Thirty_Seconds_To_Mars        3.86                17.90               rock                
Karma                                   Alicia_Keys                   4.27                72.70               pop-R&B             
Ghetto_Gospel                           2Pac                          3.97                79.40               hiphop              
Don't_Love_You_No_More                  Craig_David                   4.07                63.60               hiphop-pop-R&B      
Nine_Million_Bicycles                   Katie_Melua                   3.29                53.40               pop-easy_listening-jazz
Lovers_And_Friends                      Lil_Jon_&_The_East_Side_Boyz  4.34                67.50               hiphop-pop          
Don't_Forget_About_Us                   Mariah_Carey                  3.90                70.00               pop-R&B             
Wait                                    Ying_Yang_Twins               2.99                93.30               hiphop-pop          
Switch                                  Will_Smith                    3.29                87.30               hiphop-pop          
Like_You                                Bow_Wow                       3.43                71.40               hiphop-pop-R&B      
Everyday_I_Love_You_Less_And_Less       Kaiser_Chiefs                 3.63                49.00               rock                
Behind_These_Hazel_Eyes                 Kelly_Clarkson                3.32                54.80               pop-R&B             
Don't_Lie                               Black_Eyed_Peas               3.65                66.20               hiphop-pop          
You_Raise_Me_Up                         Westlife                      4.02                12.90               pop                 
One_Wish                                Ray_J                         5.63                52.50               hiphop-pop-R&B      
Scars                                   Papa_Roach                    3.47                45.50               rock-metal          
I_Bet_You_Look_Good_On_The_Dancefloor   Arctic_Monkeys                2.89                53.50               rock                
That's_My_Goal                          Shayne_Ward                   3.66                28.60               pop                 
Let_Me_Hold_You                         Bow_Wow                       4.14                81.50               hiphop-pop-R&B      
I_Predict_A_Riot                        Kaiser_Chiefs                 3.89                39.50               rock                
Caught_Up                               Usher                         3.74                81.70               hiphop-pop-R&B      
Because_of_You                          Kelly_Clarkson                3.66                58.70               pop-R&B             
Let_Me_Go                               3_Doors_Down                  4.05                47.80               pop-rock-metal      
Photograph                              Nickelback                    4.32                51.50               rock-metal          
I'm_Sprung                              T                             3.85                72.20               hiphop-pop-R&B      
Cater_2_U                               Destiny's_Child               4.09                60.50               pop-R&B             
Stickwitu                               The_Pussycat_Dolls            3.46                54.80               pop-R&B             
TRUE                                    Ryan_Cabrera                  3.40                59.80               pop                 
Dakota                                  Stereophonics                 4.96                50.60               rock-pop            
Like_Toy_Soldiers                       Eminem                        4.95                52.00               hiphop              
Over_And_Over                           Nelly                         4.23                64.40               hiphop-pop-R&B      
Speed_of_Sound                          Coldplay                      4.80                51.40               rock-pop            
Suddenly_I_See                          KT_Tunstall                   3.36                58.70               World/Traditional-pop-Folk/Acoustic
Girl                                    Destiny's_Child               3.74                56.70               pop-R&B             
Since_U_Been_Gone                       Kelly_Clarkson                3.15                66.20               pop-R&B             
Sometimes_You_Can't_Make_It_On_Your_Own U2                            5.08                53.00               World/Traditional-rock
Dirty_Little_Secret                     The_All                       3.23                46.90               rock-pop            
As_Good_As_I_Once_Was                   Toby_Keith                    3.80                68.00               country             
Cool                                    Gwen_Stefani                  3.16                70.90               pop-R&B             
Best_of_You                             Foo_Fighters                  4.26                36.60               rock-metal          
Hips_Don't_Lie                          Shakira                       3.63                77.80               pop-latin           
Temperature                             Sean_Paul                     3.64                95.10               hiphop-pop          
SexyBack                                Justin_Timberlake             4.05                96.70               pop                 
Irreplaceable                           Beyonce                       3.80                44.70               pop-R&B             
Rehab                                   Amy_Winehouse                 3.58                40.70               R&B                 
SOS                                     Rihanna                       3.98                67.70               hiphop-pop-R&B      
Crazy                                   Gnarls_Barkley                2.96                85.50               hiphop-R&B          
Touch_It                                Busta_Rhymes                  3.58                65.80               hiphop-pop          
Maneater                                Nelly_Furtado                 4.31                79.60               hiphop-pop-latin    
Rock_This_Party                         Bob_Sinclar                   4.09                89.30               pop-Dance/Electronic
Come_to_Me                              Diddy                         4.61                81.90               hiphop-pop          
Sorry                                   Madonna                       4.70                58.90               pop                 
Ridin'                                  Chamillionaire                5.05                78.70               hiphop-pop          
Pump_It                                 Black_Eyed_Peas               3.55                64.80               hiphop-pop          
Promiscuous                             Nelly_Furtado                 4.04                80.80               hiphop-pop-latin    
Put_Your_Hands_Up_for_Detroit           Fedde_Le_Grand                2.51                81.40               pop-Dance/Electronic
_Give_It_Up_to_Me                       Sean_Paul                     4.06                71.10               hiphop-pop          
Buttons                                 The_Pussycat_Dolls            3.76                56.50               pop-R&B             
Get_Up                                  Ciara                         4.36                96.40               pop-R&B             
Shake_That                              Eminem                        4.57                96.30               hiphop              
Do_It_To_It                             Cherish                       3.77                82.60               hiphop-pop-R&B      
Supermassive_Black_Hole                 Muse                          3.54                66.80               rock                
Gimme_That                              Chris_Brown                   3.11                67.80               hiphop-pop-R&B      
From_Paris_to_Berlin                    Infernal                      3.49                74.10               pop                 
Me_&_U                                  Cassie                        3.20                80.30               pop-R&B             
U_and_Dat                               E                             3.38                85.80               hiphop-pop          
Beep                                    The_Pussycat_Dolls            3.82                93.80               pop-R&B             
Snap_Yo_Fingers                         Lil_Jon                       4.57                83.50               hiphop-pop          
My_My_My                                Armand_Van_Helden             3.17                67.80               pop-Dance/Electronic
Nasty_Girl                              The_Notorious_B.I.G.          4.77                83.30               hiphop              
It's_Goin'_Down                         Yung_Joc                      4.03                88.80               hiphop-pop          
No_Promises                             Shayne_Ward                   3.72                50.00               pop                 
My_Love                                 Justin_Timberlake             4.60                77.10               pop                 
Savin'_Me                               Nickelback                    3.66                44.10               rock-metal          
Grillz                                  Nelly                         4.52                86.70               hiphop-pop-R&B      
Patience                                Take_That                     3.37                30.90               pop                 
London_Bridge                           Fergie                        4.02                76.90               pop-R&B             
Everytime_We_Touch                      Cascada                       3.32                64.00               hiphop-pop-Dance/Electronic
Laffy_Taffy                             D4L                           3.74                89.10               hiphop-pop          
Control_Myself                          LL_Cool_J                     3.90                82.50               hiphop-pop-R&B      
Deja_Vu                                 Beyonce                       4.00                64.40               pop-R&B             
Stupid_Girls                            P!nk                          3.29                68.30               pop                 
When_I'm_Gone                           Eminem                        4.69                61.80               hiphop              
Bossy                                   Kelis                         4.57                90.60               pop-R&B-Dance/Electronic
Love_Generation                         Bob_Sinclar                   3.46                71.50               pop-Dance/Electronic
Thunder_in_My_Heart_Again               Meck                          3.16                67.90               pop                 
Be_Without_You                          Mary_J._Blige                 4.11                72.60               pop-R&B             
Something_Kinda_Ooooh                   Girls_Aloud                   3.36                68.10               pop-Dance/Electronic
Unfaithful                              Rihanna                       3.78                58.80               hiphop-pop-R&B      
Touch_The_Sky                           Kanye_West                    3.94                55.20               hiphop              
Lean_Wit_It_Rock_Wit_It                 Dem_Franchize_Boyz            3.83                88.60               hiphop-pop          
Call_Me_When_You're_Sober               Evanescence                   3.58                45.00               metal               
Pullin'_Me_Back                         Chingy                        3.90                78.60               hiphop-pop-R&B      
Far_Away                                Nickelback                    3.97                51.80               rock-metal          
Dance_Dance                             Fall_Out_Boy                  3.00                62.20               rock                
A_Moment_Like_This                      Leona_Lewis                   4.29                26.10               pop-R&B             
What_You_Know                           T.I.                          4.57                55.10               hiphop-pop          
Money_Maker                             Ludacris                      3.84                55.10               hiphop-pop          
What's_Left_Of_Me                       Nick_Lachey                   4.08                42.00               pop                 
Chain_Hang_Low                          Jibbs                         3.46                79.20               hiphop-pop          
When_The_Sun_Goes_Down                  Arctic_Monkeys                3.37                34.80               rock                
Life_is_a_Highway                       Rascal_Flatts                 4.61                56.10               country             
Check_On_It                             Beyonce                       3.52                70.00               pop-R&B             
Love                                    Keyshia_Cole                  4.26                68.80               hiphop-pop-R&B      
Smile                                   Lily_Allen                    3.28                63.20               pop                 
Sexy_Love                               Ne                            3.68                69.30               pop-R&B             
Too_Little_Too_Late                     JoJo                          3.73                53.50               hiphop-pop-R&B      
One                                     Mary_J._Blige                 4.34                34.40               pop-R&B             
Ms._New_Booty                           Bubba_Sparxxx                 4.21                64.00               hiphop-pop-country  
You_Know_I'm_No_Good                    Amy_Winehouse                 4.28                70.50               R&B                 
What_Hurts_The_Most                     Rascal_Flatts                 3.57                53.70               country             
Dani_California                         Red_Hot_Chili_Peppers         4.70                55.60               rock                
I_Don't_Feel_Like_Dancin'               Scissor_Sisters               4.81                70.70               pop-rock-Dance/Electronic
So_Sick                                 Ne                            3.45                45.20               pop-R&B             
Lips_Of_An_Angel                        Hinder                        4.35                47.40               pop-rock-metal      
Steady_As_She_Goes                      The_Raconteurs                3.59                52.50               rock                
Chelsea_Dagger                          The_Fratellis                 3.59                51.10               rock                
Where'd_You_Go                          Fort_Minor                    3.86                68.40               hiphop-pop-rock     
Stickwitu                               The_Pussycat_Dolls            3.46                54.80               pop-R&B             
I_Write_Sins_Not_Tragedies              Panic!_At_The_Disco           3.09                56.60               rock                
Goodbye_My_Lover                        James_Blunt                   4.31                43.20               pop                 
Ain't_No_Other_Man                      Christina_Aguilera            3.82                86.20               pop                 
The_Rose                                Westlife                      3.65                27.20               pop                 
Is_It_Any_Wonder?                       Keane                         3.10                48.90               pop                 
No_Tomorrow                             Orson                         2.79                65.60               pop                 
I'm_N_Luv                               T                             4.42                73.10               hiphop-pop-R&B      
Black_Horse_And_The_Cherry_Tree         KT_Tunstall                   2.87                74.80               World/Traditional-pop-Folk/Acoustic
Unwritten                               Natasha_Bedingfield           4.32                70.60               pop                 
America                                 Razorlight                    4.16                44.70               rock-pop            
You_Give_Me_Something                   James_Morrison                3.55                55.90               pop-R&B             
You're_All_I_Have                       Snow_Patrol                   4.56                46.70               World/Traditional-rock-pop
How_to_Save_a_Life                      The_Fray                      4.38                64.00               pop                 
I_Wish_I_Was_a_Punk_Rocker              Sandi_Thom                    2.53                70.00               World/Traditional-pop
Welcome_to_the_Black_Parade             My_Chemical_Romance           5.19                21.70               rock                
In_The_Morning                          Razorlight                    3.71                61.60               rock-pop            
Dirty_Little_Secret                     The_All                       3.23                46.90               rock-pop            
Wonderful_World                         James_Morrison                3.50                47.40               pop-R&B             
Yo                                      Chris_Brown                   3.82                53.60               hiphop-pop-R&B      
Who_Knew                                P!nk                          3.47                68.80               pop                 
Naive                                   The_Kooks                     3.39                39.10               rock                
Bleeding_Love                           Leona_Lewis                   4.37                63.80               pop-R&B             
Umbrella                                Rihanna                       4.60                58.30               hiphop-pop-R&B      
Gimme_More                              Britney_Spears                4.19                78.80               pop                 
Big_Girls_Don't_Cry                     Fergie                        4.47                70.80               pop-R&B             
Valerie                                 Mark_Ronson                   3.66                69.80               pop                 
Hey_There_Delilah                       Plain_White_T's               3.88                65.60               pop                 
What_Goes_Around.../...Comes_Around     Justin_Timberlake             7.48                68.70               pop                 
The_Sweet_Escape                        Gwen_Stefani                  4.11                75.60               pop-R&B             
The_Way_I_Are                           Timbaland                     2.99                73.10               hiphop-pop-R&B      
Say_It_Right                            Nelly_Furtado                 3.72                87.20               hiphop-pop-latin    
Let_Me_Think_About_It                   Ida_Corr                      2.53                76.20               pop                 
Destination_Calabria                    Alex_Gaudino                  3.72                62.70               Dance/Electronic    
Cry_for_You                             September                     3.50                76.70               pop-Dance/Electronic
Smack_That                              Akon                          3.54                94.00               pop                 
Give_It_To_Me                           Timbaland                     3.90                97.50               hiphop-pop-R&B      
Ayo_Technology                          50_Cent                       4.13                63.00               hiphop-pop          
Proper_Education                        Eric_Prydz                    3.31                53.70               pop-Dance/Electronic
Put_Your_Hands_Up_For_Detroit           Fedde_Le_Grand                2.51                82.70               pop-Dance/Electronic
Like_a_Boy                              Ciara                         3.95                70.10               pop-R&B             
Stronger                                Kanye_West                    5.20                61.70               hiphop              
Beautiful_Liar                          Beyonce                       3.33                76.40               pop-R&B             
Breakfast_in_America                    Gym_Class_Heroes              3.95                58.40               hiphop-pop          
I_Wanna_Love_You                        Akon                          4.12                86.50               pop                 
Crank_That                              Soulja_Boy                    3.70                73.60               hiphop-pop          
Make_It_Rain                            Fat_Joe                       4.12                74.40               hiphop-pop          
U_+_Ur_Hand                             P!nk                          3.57                70.90               pop                 
Shut_Up_And_Drive                       Rihanna                       3.54                73.50               hiphop-pop-R&B      
Get_It_Shawty                           Lloyd                         3.49                82.20               hiphop-pop-R&B      
Can't_Tell_Me_Nothing                   Kanye_West                    4.53                59.60               hiphop              
The_Creeps                              Camille_Jones                 2.54                84.70               pop                 
What_I've_Done                          Linkin_Park                   3.43                62.30               rock-metal          
Last_Night                              Keyshia_Cole                  4.26                91.80               hiphop-pop-R&B      
Kiss_Kiss                               Chris_Brown                   4.18                72.90               hiphop-pop-R&B      
Party_Like_A_Rock_Star                  Shop_Boyz                     4.22                61.90               hiphop-pop          
Paralyzer                               Finger_Eleven                 3.47                64.40               rock-metal          
Summer_Love                             Justin_Timberlake             4.22                60.60               pop                 
This_Is_Why_I'm_Hot                     MiMS                          4.23                62.10               hiphop-pop          
Make_Me_Better                          Fabolous                      4.23                60.70               hiphop-pop-R&B      
Fake_It                                 Seether                       3.23                61.10               rock-metal          
Patience                                Take_That                     3.37                30.90               pop                 
Brianstorm                              Arctic_Monkeys                2.88                42.00               rock                
My_Love                                 Justin_Timberlake             4.60                77.10               pop                 
Glamorous                               Fergie                        4.11                81.10               pop-R&B             
Bleed_It_Out                            Linkin_Park                   2.77                52.90               rock-metal          
Teenagers                               My_Chemical_Romance           2.70                46.30               rock                
Acceptable_in_the_80's                  Calvin_Harris                 5.56                78.70               hiphop-pop-Dance/Electronic
About_You_Now                           Sugababes                     3.54                58.40               pop-R&B             
Girlfriend                              Avril_Lavigne                 3.61                56.00               pop                 
Because_Of_You                          Ne                            4.45                81.00               pop-R&B             
It's_Not_Over                           Daughtry                      3.59                45.00               pop-rock-metal      
Walk_It_Out                             Unk                           2.88                79.40               hiphop-pop          
